transaction_id,customer_id,transaction_amount,customer_transaction_count,customer_success_rate,payment_method,payment_method_success_rate,channel,preferred_channel,product_interest_score,checkout_progress,customer_email_available,customer_phone_available,scenario,payment_status,failure_reason,revenue_at_risk,recovery_attempts,promise_to_pay,recovered,money_recovered,force_recovery_failure
txn_000001,cust_0386,35462.01,29,0.903,NETBANKING,0.717,invoice,email,0.866,0.601,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000002,cust_0485,18444.82,21,0.733,NETBANKING,0.877,payment_link,whatsapp,0.139,0.292,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000003,cust_0390,22119.59,21,0.809,CARD,0.788,subscription,sms,0.098,0.684,1,1,payment_failure,failed,insufficient_funds,1,3,1,1,22119.59,0
txn_000004,cust_0493,37416.54,4,0.729,NETBANKING,0.851,invoice,email,0.961,0.845,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000005,cust_0780,3887.42,15,0.887,NETBANKING,0.905,mobile,sms,0.729,0.771,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000006,cust_0795,35719.59,16,0.954,CARD,0.957,web,sms,0.472,0.12,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000007,cust_0557,12614.75,15,0.911,UPI,0.791,invoice,whatsapp,0.509,0.908,1,1,payment_failure,failed,timeout,1,3,1,1,12614.75,0
txn_000008,cust_0745,45360.06,21,0.8,NETBANKING,0.794,web,sms,0.122,0.356,1,0,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000009,cust_0268,27993.48,6,0.529,WALLET,0.771,subscription,sms,0.168,0.219,0,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000010,cust_0672,45431.64,2,0.712,CARD,0.846,payment_link,email,0.051,0.279,0,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000011,cust_0403,40858.31,23,0.799,WALLET,0.836,web,sms,0.983,0.399,1,1,payment_failure,failed,mandate_failed,1,3,0,0,0.0,0
txn_000012,cust_0572,5850.98,19,0.813,NETBANKING,0.972,mobile,whatsapp,0.138,0.341,1,1,checkout_dropoff,abandoned,customer_abandoned,1,3,0,0,0.0,0
txn_000013,cust_0104,44410.95,1,0.744,WALLET,0.946,subscription,whatsapp,0.856,0.405,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000014,cust_0470,11368.61,3,0.865,CARD,0.859,web,sms,0.692,0.652,1,1,payment_failure,failed,timeout,1,0,0,1,11368.61,0
txn_000015,cust_0192,24727.38,14,0.831,NETBANKING,0.93,invoice,sms,0.503,0.577,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000016,cust_0128,48339.41,17,0.799,WALLET,0.704,payment_link,sms,0.928,0.428,0,1,checkout_dropoff,abandoned,customer_abandoned,1,0,0,1,48339.41,0
txn_000017,cust_0246,14905.47,10,0.786,WALLET,0.895,mobile,sms,0.359,0.254,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000018,cust_0727,32568.2,29,0.952,WALLET,0.848,subscription,whatsapp,0.502,0.798,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000019,cust_0196,26946.7,19,0.986,CARD,0.773,invoice,sms,0.039,0.303,1,1,checkout_dropoff,abandoned,customer_abandoned,1,2,0,0,0.0,0
txn_000020,cust_0641,13687.45,20,0.938,CARD,0.85,subscription,email,0.323,0.795,0,0,failed_subscription,failed,insufficient_funds,1,2,0,1,13687.45,0
txn_000021,cust_0435,27806.83,1,0.766,UPI,0.781,invoice,whatsapp,0.955,0.738,0,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000022,cust_0180,24682.47,25,0.815,CARD,0.904,subscription,sms,0.474,0.098,1,1,failed_subscription,failed,bank_decline,1,0,1,1,24682.47,0
txn_000023,cust_0691,29371.62,26,0.729,WALLET,0.72,payment_link,email,0.642,0.027,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000024,cust_0196,30989.04,12,0.854,UPI,0.762,web,email,0.377,0.039,1,1,failed_subscription,failed,bank_decline,1,2,0,1,30989.04,0
txn_000025,cust_0037,28881.04,18,0.833,UPI,0.859,payment_link,email,0.423,0.569,1,1,checkout_dropoff,abandoned,customer_abandoned,1,3,0,0,0.0,0
txn_000026,cust_0455,5179.25,23,0.775,CARD,0.844,subscription,sms,0.39,0.298,1,0,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000027,cust_0733,39108.54,20,0.805,UPI,0.861,invoice,sms,0.213,0.946,1,0,mandate_failure,failed,mandate_failed,1,0,1,1,39108.54,0
txn_000028,cust_0342,4251.17,18,0.817,WALLET,0.721,invoice,email,0.822,0.706,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000029,cust_0001,12833.37,7,0.806,NETBANKING,0.772,mobile,email,0.33,0.434,0,1,failed_subscription,failed,insufficient_funds,1,2,0,0,0.0,0
txn_000030,cust_0402,27889.05,28,0.767,CARD,0.827,invoice,email,0.802,0.978,1,1,checkout_dropoff,abandoned,customer_abandoned,1,2,1,1,27889.05,0
txn_000031,cust_0090,3081.62,17,0.547,WALLET,0.914,subscription,sms,0.915,0.959,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000032,cust_0594,30218.54,28,0.755,CARD,0.709,invoice,sms,0.28,0.411,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000033,cust_0795,24122.43,5,0.461,UPI,0.748,web,whatsapp,0.411,0.778,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000034,cust_0051,45675.65,1,0.781,CARD,0.901,invoice,sms,0.534,0.75,1,1,payment_failure,failed,insufficient_funds,1,0,0,1,45675.65,0
