transaction_id,recovered,transaction_amount,recovery_probability,priority_score,priority
txn_002717,0,5597.53,0.9612,0.7383,MEDIUM
txn_001204,1,28723.84,0.9534,0.8783,HIGH
txn_002965,1,30615.28,0.9466,0.8585,HIGH
txn_002732,1,29544.82,0.9439,0.8101,HIGH
txn_001603,1,24466.66,0.9428,0.8442,HIGH
txn_000973,1,27303.64,0.9428,0.7723,HIGH
txn_002140,1,30866.68,0.942,0.8489,HIGH
txn_002951,0,45367.55,0.9416,0.8811,HIGH
txn_001427,1,44689.85,0.9405,0.8289,HIGH
txn_000349,1,2628.56,0.9393,0.7761,HIGH
txn_000563,1,19758.21,0.9384,0.7877,HIGH
txn_002037,1,40765.44,0.9382,0.8924,HIGH
txn_001048,0,17510.08,0.9372,0.7795,HIGH
txn_000679,1,46322.68,0.9357,0.8472,HIGH
txn_000906,1,25795.53,0.9338,0.7556,HIGH
txn_000409,1,25190.65,0.9325,0.8568,HIGH
txn_001680,1,41576.14,0.9311,0.8958,HIGH
txn_001124,1,38209.68,0.9308,0.8941,HIGH
txn_000050,1,35420.48,0.9303,0.8742,HIGH
txn_001039,1,45471.81,0.9301,0.8178,HIGH
txn_000830,1,16917.57,0.9295,0.7211,MEDIUM
txn_001431,1,3984.23,0.9287,0.7252,MEDIUM
txn_001371,1,16006.79,0.9287,0.8476,HIGH
txn_001948,1,2785.08,0.9281,0.7225,MEDIUM
txn_002643,1,9241.89,0.9276,0.778,HIGH
txn_000716,1,6289.98,0.9274,0.7758,HIGH
txn_002002,1,4917.98,0.9273,0.7145,MEDIUM
txn_000828,1,27837.77,0.9273,0.8263,HIGH
txn_001409,1,25445.53,0.9271,0.8199,HIGH
txn_002976,1,735.49,0.9261,0.7552,HIGH
txn_002020,1,39080.16,0.9257,0.8351,HIGH
txn_000839,1,6731.58,0.9247,0.7399,MEDIUM
txn_000729,1,4414.43,0.9247,0.6699,MEDIUM
txn_000234,1,29263.53,0.9245,0.7647,HIGH
txn_001986,1,5567.34,0.9245,0.7749,HIGH
txn_002723,1,22084.25,0.9244,0.8082,HIGH
txn_002514,1,33043.66,0.9244,0.869,HIGH
txn_001753,1,38796.22,0.924,0.865,HIGH
txn_000642,1,14483.27,0.9238,0.8307,HIGH
txn_001750,1,10074.4,0.9238,0.7776,HIGH
txn_000152,1,19398.49,0.9237,0.7708,HIGH
txn_002323,1,25495.72,0.9236,0.8009,HIGH
txn_002970,1,26339.61,0.9235,0.7962,HIGH
txn_000930,1,2411.24,0.9233,0.721,MEDIUM
txn_002397,1,12715.17,0.9232,0.7453,MEDIUM
txn_001559,1,11609.91,0.923,0.7913,HIGH
txn_001971,1,3372.71,0.9227,0.7435,MEDIUM
txn_002522,1,42791.41,0.9224,0.899,HIGH
txn_001492,1,29627.66,0.9222,0.8218,HIGH
txn_000807,0,13951.59,0.9221,0.7779,HIGH
txn_000293,1,37166.15,0.9207,0.8492,HIGH
txn_002772,1,13680.36,0.9206,0.8008,HIGH
txn_000598,1,34481.02,0.9201,0.8303,HIGH
txn_001827,1,17598.39,0.9196,0.7872,HIGH
txn_001858,0,16619.87,0.9193,0.7999,HIGH
txn_001327,1,12475.3,0.9179,0.7544,HIGH
txn_000751,1,17579.95,0.9168,0.76,HIGH
txn_000759,1,5848.69,0.9168,0.6755,MEDIUM
txn_002256,1,10363.77,0.9168,0.7572,HIGH
txn_000897,1,42623.75,0.9165,0.8103,HIGH
txn_001901,1,12238.31,0.9164,0.7644,HIGH
txn_000437,1,24293.09,0.9163,0.8138,HIGH
txn_001642,1,6560.76,0.9159,0.7309,MEDIUM
txn_002388,1,30821.17,0.9157,0.8179,HIGH
txn_001285,1,22536.08,0.9155,0.7931,HIGH
txn_001521,1,29897.42,0.9152,0.8535,HIGH
txn_001720,1,36196.03,0.9148,0.8165,HIGH
txn_002442,1,34474.15,0.9147,0.8445,HIGH
txn_002826,1,4799.23,0.9143,0.7118,MEDIUM
txn_000228,1,10931.94,0.9135,0.7921,HIGH
txn_001515,1,10674.62,0.9124,0.7642,HIGH
txn_002894,1,12381.2,0.9123,0.7115,MEDIUM
txn_002668,1,3009.75,0.9119,0.6377,MEDIUM
txn_000874,1,21122.7,0.9114,0.8049,HIGH
txn_002538,1,24125.83,0.9114,0.7555,HIGH
txn_000155,1,4864.89,0.911,0.7685,HIGH
txn_001110,0,19773.33,0.9108,0.7005,MEDIUM
txn_001691,1,45510.58,0.9105,0.8352,HIGH
txn_000402,1,41230.04,0.9101,0.8267,HIGH
txn_001008,1,2486.82,0.9099,0.6063,MEDIUM
txn_001864,1,42410.81,0.9099,0.8956,HIGH
txn_002036,1,22132.11,0.9092,0.8244,HIGH
txn_001610,0,24230.61,0.9092,0.8114,HIGH
txn_001723,1,42540.99,0.9091,0.8028,HIGH
txn_001589,1,42675.06,0.909,0.8187,HIGH
txn_000834,1,11510.89,0.9088,0.7326,MEDIUM
txn_001390,0,4763.0,0.9087,0.7477,MEDIUM
txn_001000,1,46865.32,0.9084,0.8912,HIGH
txn_002048,1,29770.94,0.9078,0.798,HIGH
txn_001503,1,28249.02,0.9075,0.8038,HIGH
txn_001282,1,6321.75,0.9068,0.6668,MEDIUM
txn_001885,1,33902.06,0.9062,0.7887,HIGH
txn_000571,1,11498.92,0.9057,0.7346,MEDIUM
txn_001941,1,21252.89,0.9055,0.7628,HIGH
txn_002115,1,12196.45,0.9055,0.7607,HIGH
txn_000182,1,37761.56,0.905,0.8641,HIGH
txn_000781,1,19505.46,0.9047,0.6559,MEDIUM
txn_002165,1,35285.09,0.9047,0.8011,HIGH
txn_001530,1,29429.87,0.9042,0.7549,HIGH
txn_001695,1,37517.98,0.9038,0.7972,HIGH
txn_000046,1,9482.97,0.9028,0.7183,MEDIUM
txn_000531,1,5952.79,0.9023,0.7057,MEDIUM
txn_001381,1,20540.15,0.9014,0.8412,HIGH
txn_002088,1,40303.51,0.9014,0.7652,HIGH
txn_002350,1,12304.06,0.9011,0.7588,HIGH
txn_001562,0,14886.27,0.9011,0.7026,MEDIUM
txn_000243,1,6793.75,0.9004,0.6559,MEDIUM
txn_000712,1,7003.85,0.9001,0.6743,MEDIUM
txn_002200,1,18703.28,0.9,0.8042,HIGH
txn_002995,1,45557.18,0.8999,0.8247,HIGH
txn_000292,1,33742.62,0.8993,0.7981,HIGH
txn_002709,1,8153.33,0.8992,0.7663,HIGH
txn_002272,0,34410.69,0.8992,0.735,MEDIUM
txn_002985,1,13852.77,0.899,0.7836,HIGH
txn_000843,1,10080.36,0.899,0.6665,MEDIUM
txn_000869,1,40037.42,0.8988,0.8964,HIGH
txn_001445,1,47793.84,0.8982,0.8266,HIGH
txn_000623,1,46820.18,0.8982,0.8391,HIGH
txn_002147,0,26950.11,0.8976,0.8281,HIGH
txn_000599,1,16034.4,0.8972,0.7725,HIGH
txn_001671,1,36919.88,0.8971,0.878,HIGH
txn_002608,1,21713.88,0.8969,0.6802,MEDIUM
txn_001178,1,14011.53,0.8963,0.6874,MEDIUM
txn_001448,0,35682.92,0.8962,0.8329,HIGH
txn_001600,1,44726.74,0.8962,0.9288,HIGH
txn_000809,1,49942.47,0.8959,0.8591,HIGH
txn_000175,1,38226.24,0.8959,0.8001,HIGH
txn_000792,1,9842.94,0.8958,0.6944,MEDIUM
txn_000371,0,7665.48,0.8958,0.6407,MEDIUM
txn_002485,1,13589.13,0.8957,0.6428,MEDIUM
txn_001143,1,12508.01,0.8953,0.6645,MEDIUM
txn_002109,1,37828.85,0.8951,0.8177,HIGH
txn_000473,0,37583.32,0.8951,0.8051,HIGH
txn_002678,1,4161.05,0.8943,0.6757,MEDIUM
txn_002642,1,24328.36,0.8942,0.7287,MEDIUM
txn_002106,1,17017.95,0.8941,0.73,MEDIUM
txn_002881,1,27540.54,0.8941,0.7705,HIGH
txn_002747,1,23230.06,0.8939,0.7774,HIGH
txn_001402,1,11236.04,0.8939,0.635,MEDIUM
txn_002704,1,8476.36,0.8936,0.7461,MEDIUM
txn_000542,1,47141.61,0.8936,0.852,HIGH
txn_002092,1,21832.88,0.8932,0.8115,HIGH
txn_001170,1,48809.54,0.8931,0.809,HIGH
txn_001096,1,43876.94,0.8931,0.8091,HIGH
txn_001307,1,31620.2,0.8931,0.8271,HIGH
txn_000832,1,31936.53,0.893,0.7935,HIGH
txn_000058,1,20246.99,0.8927,0.8043,HIGH
txn_001405,1,44792.67,0.8927,0.8544,HIGH
txn_002698,1,5350.87,0.8924,0.5875,MEDIUM
txn_001071,1,18739.06,0.8924,0.7306,MEDIUM
txn_000210,1,23263.11,0.8922,0.7725,HIGH
txn_000860,1,13004.31,0.8918,0.7547,HIGH
txn_000997,1,46754.77,0.8917,0.8126,HIGH
txn_002870,1,5631.18,0.8913,0.7017,MEDIUM
txn_001293,1,35128.22,0.8911,0.848,HIGH
txn_001029,1,42463.7,0.8908,0.773,HIGH
txn_000376,1,23700.75,0.8907,0.7847,HIGH
txn_000091,1,36974.77,0.8906,0.8408,HIGH
txn_000659,1,18541.86,0.8905,0.7258,MEDIUM
txn_001649,1,4237.68,0.8904,0.6543,MEDIUM
txn_000302,1,27686.43,0.89,0.8091,HIGH
txn_002797,1,28600.67,0.8899,0.7622,HIGH
txn_002101,0,39970.55,0.8897,0.8342,HIGH
txn_002085,0,15534.89,0.8897,0.7343,MEDIUM
txn_001362,1,45869.17,0.8896,0.8355,HIGH
txn_002610,1,30466.94,0.8891,0.7451,MEDIUM
txn_000209,1,43458.25,0.889,0.7895,HIGH
txn_002241,1,5611.54,0.889,0.7475,MEDIUM
txn_000071,0,34934.08,0.8886,0.8107,HIGH
txn_002184,1,39969.24,0.8884,0.7831,HIGH
txn_000825,1,19096.38,0.8883,0.7397,MEDIUM
txn_002148,1,40609.21,0.8881,0.8288,HIGH
txn_000253,1,469.17,0.888,0.5826,MEDIUM
txn_001746,1,25914.44,0.8879,0.7363,MEDIUM
txn_002836,1,10513.3,0.8876,0.7252,MEDIUM
txn_000392,1,15959.44,0.8872,0.7256,MEDIUM
txn_000947,1,18250.67,0.8869,0.8199,HIGH
txn_000678,1,45312.65,0.8868,0.7642,HIGH
txn_000610,1,28828.5,0.8864,0.8423,HIGH
txn_000424,1,19503.71,0.8863,0.692,MEDIUM
txn_002270,1,38266.35,0.8861,0.8255,HIGH
txn_001882,1,16630.69,0.886,0.7225,MEDIUM
txn_000467,1,39494.22,0.8857,0.8604,HIGH
txn_000891,1,26254.26,0.8857,0.7831,HIGH
txn_001757,1,33623.02,0.8856,0.7261,MEDIUM
txn_002670,1,29671.04,0.8853,0.8012,HIGH
txn_002501,1,27891.9,0.8849,0.7641,HIGH
txn_001846,0,49005.67,0.8849,0.9048,HIGH
txn_001601,0,36628.31,0.8847,0.8312,HIGH
txn_001302,1,7225.73,0.8846,0.7159,MEDIUM
txn_001955,0,18825.22,0.8846,0.7802,HIGH
txn_001824,1,36301.98,0.8846,0.8387,HIGH
txn_002086,1,21254.17,0.8843,0.7051,MEDIUM
txn_002348,1,30920.52,0.8843,0.7208,MEDIUM
txn_001818,1,45150.12,0.8842,0.7611,HIGH
txn_002277,1,29881.29,0.8842,0.6917,MEDIUM
txn_000667,1,38617.21,0.8837,0.7545,HIGH
txn_001647,1,3993.3,0.8836,0.7543,HIGH
txn_002780,1,26573.11,0.8834,0.64,MEDIUM
txn_001990,1,48301.53,0.8832,0.7856,HIGH
txn_000682,1,4786.45,0.8832,0.7384,MEDIUM
txn_000351,1,34754.39,0.8831,0.7709,HIGH
txn_001434,1,35460.51,0.8831,0.8255,HIGH
txn_002331,1,26899.95,0.8823,0.7303,MEDIUM
txn_001849,1,29004.67,0.8822,0.7995,HIGH
txn_002411,1,30296.66,0.882,0.7808,HIGH
txn_001838,1,38037.86,0.8818,0.8527,HIGH
txn_002177,1,13759.27,0.8818,0.7783,HIGH
txn_002790,1,34773.03,0.8817,0.8494,HIGH
txn_001366,1,35680.05,0.8817,0.8287,HIGH
txn_002137,1,9636.95,0.8815,0.7166,MEDIUM
txn_002169,1,5113.88,0.8813,0.6493,MEDIUM
txn_001392,1,40692.65,0.881,0.818,HIGH
txn_001015,1,13172.28,0.88,0.6699,MEDIUM
txn_002806,1,22889.77,0.88,0.7307,MEDIUM
txn_002238,1,31276.1,0.8795,0.7714,HIGH
txn_002992,0,2339.7,0.879,0.63,MEDIUM
txn_002581,1,20507.83,0.879,0.5917,MEDIUM
txn_000428,1,24183.14,0.8789,0.7405,MEDIUM
txn_000452,1,24475.9,0.8788,0.6992,MEDIUM
txn_001812,1,18045.61,0.8786,0.6859,MEDIUM
txn_000819,1,45840.12,0.8783,0.8341,HIGH
txn_002102,1,16992.33,0.8781,0.7493,MEDIUM
txn_000589,1,44982.67,0.878,0.7869,HIGH
txn_000493,0,33533.55,0.8775,0.8016,HIGH
txn_000474,1,6170.42,0.8774,0.7324,MEDIUM
txn_002043,1,5376.84,0.8773,0.7019,MEDIUM
txn_001963,1,21680.52,0.8772,0.7493,MEDIUM
txn_001295,1,23816.15,0.8768,0.7019,MEDIUM
txn_000950,1,11083.71,0.8768,0.7918,HIGH
txn_002410,1,24224.83,0.8768,0.7697,HIGH
txn_002316,1,24126.17,0.8766,0.7043,MEDIUM
txn_000287,0,12329.84,0.8762,0.6448,MEDIUM
txn_000329,1,26870.02,0.8761,0.7748,HIGH
txn_000011,0,40858.31,0.8761,0.808,HIGH
txn_000374,1,4137.99,0.876,0.6312,MEDIUM
txn_000951,1,818.32,0.876,0.594,MEDIUM
txn_000921,1,37513.91,0.8753,0.8257,HIGH
txn_002889,1,48787.01,0.875,0.8504,HIGH
txn_001103,0,42669.7,0.8749,0.8002,HIGH
txn_000165,1,18130.51,0.8747,0.6891,MEDIUM
txn_001370,1,42902.88,0.8746,0.8853,HIGH
txn_002682,1,1935.58,0.8742,0.6354,MEDIUM
txn_000590,0,23291.06,0.8741,0.6894,MEDIUM
txn_000189,0,47075.37,0.8738,0.8155,HIGH
txn_001247,1,16778.56,0.8735,0.744,MEDIUM
txn_002286,1,28875.93,0.8735,0.7882,HIGH
txn_000505,1,14536.4,0.8734,0.7363,MEDIUM
txn_001781,1,18651.22,0.8732,0.713,MEDIUM
txn_000444,1,13268.32,0.8732,0.7034,MEDIUM
txn_001837,0,31095.02,0.8731,0.7807,HIGH
txn_002908,1,49905.75,0.873,0.7981,HIGH
txn_002304,0,4443.18,0.8727,0.6688,MEDIUM
txn_000482,1,11644.36,0.8727,0.7079,MEDIUM
txn_001125,1,11539.4,0.8725,0.7999,HIGH
txn_000824,1,17773.32,0.8724,0.7209,MEDIUM
txn_000410,1,27624.39,0.8723,0.7584,HIGH
txn_000756,1,14783.21,0.872,0.7463,MEDIUM
txn_002853,1,26032.51,0.8714,0.7515,HIGH
txn_001067,1,22607.7,0.8712,0.7798,HIGH
txn_001382,1,16399.37,0.871,0.7561,HIGH
txn_000167,1,5173.37,0.871,0.7395,MEDIUM
txn_001235,1,42570.47,0.871,0.7637,HIGH
txn_000966,1,14902.37,0.8708,0.744,MEDIUM
txn_001238,0,34270.11,0.8708,0.7824,HIGH
txn_000994,0,27330.02,0.8707,0.7522,HIGH
txn_000798,1,3277.33,0.8707,0.7176,MEDIUM
txn_002414,1,22256.66,0.8699,0.6505,MEDIUM
txn_001921,1,6478.37,0.8699,0.6752,MEDIUM
txn_000027,1,39108.54,0.8699,0.7525,HIGH
txn_002858,0,5584.06,0.8697,0.7187,MEDIUM
txn_001811,1,21573.96,0.8696,0.7813,HIGH
txn_001339,1,2642.68,0.8696,0.6709,MEDIUM
txn_000224,1,6756.35,0.8695,0.6534,MEDIUM
txn_002564,0,48415.34,0.8693,0.8573,HIGH
txn_000413,1,10060.55,0.8691,0.6973,MEDIUM
txn_002236,1,41027.16,0.8685,0.8241,HIGH
txn_001486,1,9664.45,0.8684,0.7462,MEDIUM
txn_001244,0,10981.83,0.8681,0.7653,HIGH
txn_000345,1,14100.7,0.8679,0.693,MEDIUM
txn_000514,0,29472.21,0.8677,0.7342,MEDIUM
txn_001416,1,12107.87,0.8677,0.7215,MEDIUM
txn_002128,1,40980.43,0.8676,0.7927,HIGH
txn_002855,0,32619.81,0.8674,0.798,HIGH
txn_001219,1,21363.62,0.8671,0.7667,HIGH
txn_002284,1,49507.42,0.8666,0.7817,HIGH
txn_002324,1,45293.72,0.8666,0.8075,HIGH
txn_001063,1,47935.99,0.8665,0.8728,HIGH
txn_000120,0,360.27,0.8665,0.6487,MEDIUM
txn_002028,1,7011.61,0.8664,0.6274,MEDIUM
txn_000881,1,38381.55,0.8663,0.8037,HIGH
txn_001663,0,6330.07,0.8663,0.7115,MEDIUM
txn_002189,0,32356.97,0.8661,0.7557,HIGH
txn_002661,1,48729.52,0.8657,0.8806,HIGH
txn_001406,1,2126.77,0.8657,0.7024,MEDIUM
txn_001076,1,28360.51,0.8654,0.761,HIGH
txn_000042,1,12368.79,0.8647,0.7627,HIGH
txn_001514,1,22604.49,0.8644,0.6901,MEDIUM
txn_001880,1,41092.11,0.864,0.7446,MEDIUM
txn_000340,1,11413.02,0.8638,0.7251,MEDIUM
txn_000014,1,11368.61,0.8633,0.7258,MEDIUM
txn_000272,1,10251.72,0.8633,0.6538,MEDIUM
txn_001648,1,22417.47,0.8632,0.6617,MEDIUM
txn_001147,1,25515.69,0.8632,0.6844,MEDIUM
txn_000739,1,16311.79,0.8632,0.7044,MEDIUM
txn_002451,1,46727.99,0.8631,0.8016,HIGH
txn_002034,1,4857.46,0.8631,0.6737,MEDIUM
txn_000242,1,42264.36,0.863,0.8432,HIGH
txn_001050,1,34473.76,0.8627,0.7573,HIGH
txn_001780,1,45620.18,0.8622,0.8171,HIGH
txn_002840,1,9215.38,0.8622,0.7015,MEDIUM
txn_001645,1,45627.67,0.8622,0.8769,HIGH
txn_000396,1,26383.36,0.8621,0.8012,HIGH
txn_002833,1,28054.04,0.8621,0.7657,HIGH
txn_001788,1,32387.21,0.862,0.7247,MEDIUM
txn_002283,1,8263.34,0.8618,0.7436,MEDIUM
txn_002721,1,13495.35,0.8616,0.6992,MEDIUM
txn_001268,1,10572.62,0.8615,0.6889,MEDIUM
txn_001332,1,36838.7,0.8614,0.781,HIGH
txn_001347,1,27456.97,0.8612,0.7335,MEDIUM
txn_000105,1,41500.75,0.861,0.7864,HIGH
txn_002873,0,2373.6,0.861,0.653,MEDIUM
txn_002422,1,43209.93,0.861,0.8253,HIGH
txn_002899,1,36456.64,0.8608,0.7888,HIGH
txn_001338,0,39624.46,0.8605,0.7711,HIGH
txn_000445,1,29709.9,0.8604,0.7851,HIGH
txn_001260,1,5135.0,0.8598,0.6525,MEDIUM
txn_000534,1,32841.58,0.8597,0.7299,MEDIUM
txn_001726,0,5700.24,0.8597,0.6651,MEDIUM
txn_000837,0,12408.67,0.8593,0.7223,MEDIUM
txn_002040,1,31829.82,0.8592,0.7576,HIGH
txn_001316,1,7385.18,0.8586,0.6615,MEDIUM
txn_001331,0,49085.59,0.8583,0.873,HIGH
txn_000122,1,36734.07,0.8581,0.8284,HIGH
txn_001450,1,24596.34,0.8579,0.757,HIGH
txn_001741,1,14302.53,0.8578,0.6865,MEDIUM
txn_001923,1,43109.15,0.8576,0.7206,MEDIUM
txn_000618,1,33701.14,0.8575,0.7825,HIGH
txn_001457,1,21985.42,0.8574,0.7399,MEDIUM
txn_002143,1,45672.38,0.8572,0.8157,HIGH
txn_002600,1,16919.21,0.8571,0.6754,MEDIUM
txn_002481,1,4957.15,0.8569,0.6756,MEDIUM
txn_001786,1,3050.65,0.8569,0.6906,MEDIUM
txn_002791,1,32611.09,0.8568,0.7866,HIGH
txn_000415,1,34767.76,0.8567,0.7682,HIGH
txn_001299,1,33286.79,0.8567,0.7999,HIGH
txn_000306,1,48085.23,0.8567,0.7643,HIGH
txn_001507,1,2410.61,0.8565,0.6702,MEDIUM
txn_002046,1,13919.06,0.8564,0.6415,MEDIUM
txn_002445,0,14282.8,0.8562,0.7277,MEDIUM
txn_002163,1,47137.96,0.8561,0.8047,HIGH
txn_000648,1,31247.22,0.8559,0.8542,HIGH
txn_000386,0,40506.6,0.8558,0.7134,MEDIUM
txn_001085,1,44042.86,0.8555,0.776,HIGH
txn_001273,1,47559.18,0.8553,0.8708,HIGH
txn_001153,1,24113.47,0.8552,0.5969,MEDIUM
txn_000369,1,13589.07,0.855,0.7259,MEDIUM
txn_000271,0,7319.45,0.8545,0.6053,MEDIUM
txn_002675,1,45187.97,0.8545,0.7645,HIGH
txn_001022,1,20136.19,0.8544,0.7472,MEDIUM
txn_001670,1,1747.97,0.8543,0.7026,MEDIUM
txn_001787,1,14853.98,0.8543,0.7249,MEDIUM
txn_001365,1,48010.9,0.8542,0.8279,HIGH
txn_002815,1,30665.9,0.8541,0.7281,MEDIUM
txn_001438,0,37831.93,0.854,0.7921,HIGH
txn_000257,1,23141.36,0.8535,0.7776,HIGH
txn_002783,1,45454.8,0.8533,0.8213,HIGH
txn_000265,1,3260.03,0.8531,0.6799,MEDIUM
txn_001878,1,37287.08,0.8531,0.7453,MEDIUM
txn_002897,1,3964.4,0.8529,0.6681,MEDIUM
txn_002977,1,31492.58,0.8528,0.7781,HIGH
txn_000225,1,39837.13,0.8528,0.7316,MEDIUM
txn_000104,1,43923.12,0.8525,0.7895,HIGH
txn_002432,0,16943.43,0.8524,0.6981,MEDIUM
txn_000069,1,6649.84,0.8522,0.7075,MEDIUM
txn_000213,1,28395.8,0.852,0.7192,MEDIUM
txn_001072,0,23436.99,0.852,0.7564,HIGH
txn_000007,1,12614.75,0.8518,0.7103,MEDIUM
txn_002030,1,46810.62,0.8514,0.8666,HIGH
txn_002349,1,31969.15,0.8512,0.7792,HIGH
txn_002474,1,33469.4,0.8511,0.7607,HIGH
txn_002561,0,2027.86,0.8509,0.7144,MEDIUM
txn_002459,1,49277.21,0.8509,0.8385,HIGH
txn_001121,1,43460.96,0.8506,0.8993,HIGH
txn_000254,1,29788.26,0.8505,0.735,MEDIUM
